year,state,population-density
1949,minnesota,33.76053348774607
1949,missouri,55.6902543059168
1949,nebraska,16.83305577753268
1950,illinois,150.8800617472077
1950,indiana,108.92501417507904
1950,iowa,46.64775048553644
1950,minnesota,34.473703190042585
1950,missouri,56.86660692134318
1950,nebraska,17.156271134244136
1951,illinois,151.77795179193814
1951,indiana,112.46706782483582
1951,iowa,46.50558591262814
1951,minnesota,34.62323877278218
1951,missouri,57.59824086508397
1951,nebraska,17.014056377291098
1952,illinois,154.6442930885777
1952,indiana,113.89487239683082
1952,iowa,46.66552105714998
1952,minnesota,34.85329351545847
1952,missouri,56.981373030165265
1952,nebraska,16.949413305948806
1953,illinois,156.52640875926272
1953,indiana,114.8284369246737
1953,iowa,46.7188327719906
1953,minnesota,35.08334825813476
1953,missouri,57.669969683097776
1953,nebraska,17.039913605828012
1954,illinois,159.75535949704343
1954,indiana,117.07997490358886
1954,iowa,46.66552105714998
1954,minnesota,35.80802069756509
1954,missouri,58.32987480882476
1954,nebraska,17.324343119734095
1955,illinois,162.91524176984487
1955,indiana,119.79829514642547
1955,iowa,47.60736135266748
1955,minnesota,36.48668218846016
1955,missouri,59.30538673381249
1955,nebraska,17.763916004861677
1956,illinois,164.55561781310246
1956,indiana,122.40678426833938
1956,iowa,48.03385507139239
1956,minnesota,37.26886831355955
1956,missouri,59.721413878292545
1956,nebraska,18.061274133036218
1957,illinois,166.93847985488713
1957,indiana,124.35628666471716
1957,iowa,48.26487250236838
1957,minnesota,37.65996137610925
1957,missouri,60.09440373196432
1957,nebraska,18.022488290230843
1958,illinois,170.70271119625718
1958,indiana,125.83900679717348
1958,iowa,48.12270792946007
1958,minnesota,38.10856812432802
1958,missouri,60.05136644115604
1958,nebraska,17.8802735332778
1959,illinois,172.42942282073884
1959,indiana,126.66274020409367
1959,iowa,48.495889933344365
1959,minnesota,38.7182131924202
1959,missouri,61.0842614205548
1959,nebraska,18.061274133036218
1960,illinois,174.1561344452205
1960,indiana,128.33766479816472
1960,iowa,48.97569536690988
1960,minnesota,39.39687468331527
1960,missouri,62.05977334554253
1960,nebraska,18.319846418405383
1961,illinois,174.91588755999243
